source,target
6a7b4d85ad82a0bf807c5d092fe869ce57703a3738ef656c448a8e2c,e0a7bebbac14ee13bbbd41caa95e321d875f81b0d25fc63559c2af93
b2ee530785c7bcb382b8e7acafbce08e2627527a0527cfadf8bcf4b2,4c5e7b5040567da422246038a406f2866e631bc87683471ff125b981
2dde752ff8f1fa45410c0f7ae9f8eaf3c0657695a8fb19f32d1412c4,9b6be908f5815868c5ab2ac0268ee8983c10962bb769bd1c7e17b9c4
aa7305b3d6c6c977d290db7ab83124acbe4e8b5fac709bb661a37aca,a7390696575a0d8377f46c01c0e38b23b9893dd827f65b88a95899cc
65f1d8bf790273ead5a35bf90901ec0782b7f9b1543feadcdcae32ab,45f1be7c7f9888d31d62b98e9ffc62e05b89d27f8d2a5187c8eeb165
180a6e69aeffbefd864be003bcaa4a21d5cd02e32ebac347aa1a79a2,10bf4409d9b929ea192221b53503eefa10509fc242e2fda98c20b5a1
6d4794957d93d96338d505b94d01e790e6fa65fc129e3153ba0d93f3,d6987d014fdb1da67415b25c102a0611711684d51d5b358aafd879c7
b073ebb65d21e0780b8d51ba6db62787f1e78424a1495aa43a257580,305ef7c41150ee39b1c772c1e93ad099381b7e9adbb26b6889c9d553
5f1ee183bedb561e8caba0952d503323a710b0f86591cadf65f83b17,db58fb3fa219377a3348badd90389a29e83bdf4e1b3d2a4fa5152c1d
a30bf15dc9d98a78201ce6726ce0043c55907f4b5c3a7bb55654d644,a815f6ec98dbce863adaa8e10b69980807a768ffcc47311a15a8978c
8f3812a2a7e43af44da1f1e76b80707aaa9df665406c0958c3cf8a49,83aa66a4b9aea9c0dcd6cce1df801c9fe25aa37c100212502942092c
40483d287b2a07fd67d0669d700b0d0748170f8b792015a30764939d,e6e0cd8b005cfdbb233b804e49539121514c4426401b4e06929a246a
c76f8bf3ed2543d512bd1492199d646e72fa72e49dcbd606aaff654d,22b23abebcbaadbbfa5106ff76fe29a0af3eec4554f59bbd0ca0cc1b
54ed0ca6b78a8bfd5ca62f488a50315ba2a6e48e096b114358cdc88c,2552f13172bb9140d79f7255e046bcdee748d50b7165a3b70f1b4a78
2c567b0630cb0c6d9c84078dfe069df3de2c0ec0e567906c88881928,fc4918197d262cd7e885f36f118c11792fbe4973daa4a5744987bef6
b1184802820417c351eccf96230e4bba1ef5bfdb946660f257ae06e5,8ac92ae77cbb6a6a0ea03eee6faba7282651e76e0068cfbd51c8a9e0
d0194f4edc579a5deeac87efbc462ab8e57c5bfaae16e5dffa5528b4,186fc73a3e286bc7cbed2fc03d0eda67a98c2b78fccbc47bc85a6cad
1b025d2e4d751f42e5314442c92318a94f10660571129daadbf62250,b4eae8689ee6dba26c9c1858e7541ef08aa626e95017b0646121f6a9
8802709ac6198dce75cc9e620204921e664a9c17ecdbc4f4423a4fa2,53954a7a53f5655fa653f62444f3028bca9e73af883caaabdc370817
2011e4a73f8b98d3feb32f81a3542a3993041b85dc56b957028c15ea,62db5a9bc45a008f9d3a84a3c0b25f258ff07987d70541bfecb758b1
a044fc4aaf4bc33688b42f9e25bcaa169953964d9bec867735aa89ac,faea0990d57d11f9d104a9a46575dcf1825beb2f0937e3d7cffeaa79
16d2b212fc35baaf20e6081f4e595f01a73cf1cab498b0678416ef71,66a82bafe7f0e3b8e4ab398dfc03a062edbfa92a407f43183aa0bd79
a1e89a2fb27aeb6d5933a49e4bec9c19b75961e8bd55ba300b93aece,62f8a6be5a24ef9719b4cc908cae909a9c236f77dac34a48c4477f9b
a37f7f659c7f6b9e6ccc56e312cef00465576bb9d84345afb10bacf5,cae2f4e9fe9c73543b0e2e2a20900a4eff74ec1d245e33881f385175
609c1e0276763e79c75d28eaecb6eecab4cb1c46f43e6ff43b6363e3,90780daa66ecd853585788932fe8b333f011e5a6e6a962c14ba6b194
8ce047ab07e67f44212caef41cd16c5b8a6a16bea7c5c53fa2243714,878d1f81beeb0a4b29950c5234d59307e99d3f34e18cddfe6d1f3ec9
205f90e78e25bd24f4ba725eda02da71bea3c365cece2afc158bc0ff,850f11133ec47e34c15ba0288a2a38ac33057e31ef6013896514d02d
f08316d107f97b5a8f36833f59a6aadc36a722815fb5a89d3add3527,7343a20ad1fa78e2531c9159cdfac51db94174bf64a6cb1849f8152f
9e53b14f12ddeaa96a0c5819059562aac0c90ccfec92ac5ae56d80d1,ee09325ede7648397287ee445a42071f8c146281c20925f87d212f2f
b8114c954ab26533cd968c2940adafed0d034a9cba49090069c9887a,8ce5b1d378eb502d00246f97ff10c0e00b1107144e3eaf09935d7fb0
94e947a509fd417aab651f908497957e864bae3ebc62dde072196652,f96e138acae966ab76477f195b386955cdb706b801b6d0f2ed813efd
058b9994cada5781e43ae3b77110e9f5511df3e88db57fab19daf16a,59551b46fd58caf971006875a353b2750a25a1e96adcddfa78ebee52
0463ed37651c81f211dae12994b56d5eba2f0c7142660c6108cb9e28,012cc61521afe5dc525f4d48a8daa9a956f038575bf190a378181657
e1e8f450a9e1786f597480263bcf81ad5ef5c7a081807e71a62bb9b7,727ea7b667922965cd4bd669a57349bab536d5d88ced28286e2ec248
cdc2db85175d35501efee664e99e3ac9b1ee8efa1b3dcec36d7f4c7d,d2b43aa44120b9143d8ecdb33522c57f3ecf51eb2b1c734aec6103d0
15da6e43b6e0e8d69c143b7651f6e8a2e444a6f84ecb8fec40c8cd49,4ab8a9196b6124bef9cbb679e72a3a256d1b170fdb4bd0a9c7872e48
3be39e0ed7e558ca156dafcc2b41070a52d6699e1164b4244c060cd4,c03fcd323bcd609609dd504ee2b3c77597abbc05a644d61d1ee1f73c
